Priority (Assigned by MITRE/ATT&CK),Technique,Number of Mapped Controls,Controls
29,T1557.002,20,CM-6|SI-7|AC-3|SI-4|SC-8|CM-8|CM-2|SC-7|AC-17|AC-4|SI-3|AC-20|SI-12|CM-7|SC-23|SI-10|SC-4|AC-19|AC-18|CA-7
30,T1570,10,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|SI-4|AC-4
31,T1210,24,AC-2|CM-6|SI-5|SI-7|AC-3|SI-4|AC-6|CM-8|CM-2|SC-7|IA-2|AC-4|SI-3|AC-5|SC-18|CM-5|CM-7|SC-39|SC-2|RA-5|SI-2|CA-2|CA-7|IA-8
32,T1110,14,AC-6|AC-20|CM-2|IA-4|AC-5|AC-2|AC-7|CM-6|IA-11|CA-7|IA-2|AC-3|IA-5|SI-4
32,T1110.001,14,AC-6|AC-20|CM-2|IA-4|AC-5|AC-2|AC-7|CM-6|IA-11|CA-7|IA-2|AC-3|IA-5|SI-4
32,T1110.002,14,AC-6|AC-20|CM-2|IA-4|AC-5|AC-2|AC-7|CM-6|IA-11|CA-7|IA-2|AC-3|IA-5|SI-4
32,T1110.003,14,AC-6|AC-20|CM-2|IA-4|AC-5|AC-2|AC-7|CM-6|IA-11|CA-7|IA-2|AC-3|IA-5|SI-4
32,T1110.004,14,AC-6|AC-20|CM-2|IA-4|AC-5|AC-2|AC-7|CM-6|IA-11|CA-7|IA-2|AC-3|IA-5|SI-4
33,T1484,12,AC-6|CM-2|AC-5|RA-5|AC-2|CM-6|CM-5|CM-7|IA-2|AC-3|SI-4|AC-4
34,T1136,14,AC-6|AC-20|AC-5|AC-2|CM-6|SI-7|CM-5|CM-7|SC-7|IA-2|AC-3|IA-5|SI-4|AC-4
34,T1136.001,11,AC-6|AC-20|AC-5|AC-2|CM-6|SI-7|CM-5|IA-2|AC-3|IA-5|SI-4
34,T1136.002,14,AC-6|AC-20|AC-5|AC-2|CM-6|SI-7|CM-5|CM-7|SC-7|IA-2|AC-3|IA-5|SI-4|AC-4
34,T1136.003,14,AC-6|AC-20|AC-5|AC-2|CM-6|SI-7|CM-5|CM-7|SC-7|IA-2|AC-3|IA-5|SI-4|AC-4
35,T1197,13,AC-6|AC-5|AC-2|CM-6|CM-5|CM-7|CA-7|SC-7|IA-2|AC-3|SI-10|SI-4|AC-4
36,T1560,4,SI-3|RA-5|SC-7|SI-4
36,T1560.001,4,SI-3|RA-5|SC-7|SI-4
37,T1222,10,AC-6|AC-5|AC-2|CM-6|SI-7|CM-5|CA-7|IA-2|AC-3|SI-4
37,T1222.001,10,AC-6|AC-5|AC-2|CM-6|SI-7|CM-5|CA-7|IA-2|AC-3|SI-4
37,T1222.002,10,AC-6|AC-5|AC-2|CM-6|SI-7|CM-5|CA-7|IA-2|AC-3|SI-4
38,T1559,18,SI-3|AC-6|CM-8|CM-2|AC-5|RA-5|AC-2|SI-2|CM-6|SC-18|CM-5|CM-7|SC-7|CM-10|IA-2|AC-3|SI-4|AC-4
38,T1559.001,12,SI-3|AC-6|CM-2|AC-5|AC-2|CM-6|SC-18|CM-5|SC-7|IA-2|AC-3|AC-4
